First Last,First,Last,Company,Domain
Kyle Adams,Kyle,Adams,"Simplicity Laser, LLC",www.simplicitylaser.com
Lauren Berkovitz,Lauren,Berkovitz,Lauren B. Beauty,www.laurenbbeauty.com
Cristi Roberts,Cristi,Roberts,"Younique, LLC",www.youniqueproducts.com
Jean Eng,Jean,Eng,Pure+simple,www.pureandsimple.ca
Ava Mucikyan,Ava,Mucikyan,Salt Room LV,www.saltroomlv.com
Angela Gross,Angela,Gross,Naturally Safe Cosmetics Australia Pty Ltd,www.naturallysafe.com.au
Jeanine Wolthuis,Jeanine,Wolthuis,"INDISHA, pure cosmetics & co",www.indisha.nl
Joe Cloyes,Joe,Cloyes,Youth To The People,www.youthtothepeople.com
Antony Smith,Antony,Smith,Zest Beauty,www.zestbeauty.com
Patty Kerr,Patty,Kerr,Nurture My Body,www.nurturemybody.com
Lordpharaoh Imhotepamonra,Lordpharaoh,Imhotepamonra,Egyptian Magic,www.egyptianmagic.com
Andre Silva,Andre,Silva,Micro Scalp Clinic,www.microscalpclinic.com
Nancy Hammonds Wilmeth,Nancy,Wilmeth,Lavishea Lotion,www.lavishea.com
Horst Rechelbacher,Horst,Rechelbacher,"Intelligent Nutrients, Inc.",www.intelligentnutrients.com
Madeline Alcott,Madeline,Alcott,Petit Vour,www.petitvour.com
Barry Roche,Barry,Roche,Volcanic Earth - Tamanu Oil and Coconut Oil Skin Care Products,www.volcanicearth.com
Juan Segarra,Juan,Segarra,Rita Corporation,www.ritacorp.com
Tanya Pearson,Tanya,Pearson,Perfectly Posh Llc,www.perfectlyposh.com
Matt Kapulsky,Matt,Kapulsky,iKonic Precision Styling Tools,www.ikonicstyle.com
David Edell,,,CCA Industries Inc,www.ccaindustries.com
